<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TSEClose>
geram18,d,20140430,000000,1031900,1041140,1031900,1035370,1035370
geram18,d,20140501,000000,1031440,1035370,1031440,1035370,1035370
geram18,d,20140502,000000,1035370,1035370,1035370,1035370,1035370
geram18,d,20140503,000000,1035370,1051060,1035370,1049220,1049220
geram18,d,20140504,000000,1037210,1049220,1037210,1037680,1037680
geram18,d,20140505,000000,1035370,1045290,1035370,1043450,1043450
geram18,d,20140506,000000,1036520,1046910,1036520,1036520,1036520
geram18,d,20140507,000000,1028210,1037680,1028210,1029130,1029130
geram18,d,20140508,000000,1014590,1029130,1014590,1016210,1016210
geram18,d,20140509,000000,1016210,1016210,1016210,1016210,1016210
geram18,d,20140510,000000,1000280,1016210,1000280,1000280,1000280
geram18,d,20140511,000000,988740,1000280,988740,993120,993120
geram18,d,20140512,000000,990350,1009280,990350,1005360,1005360
geram18,d,20140513,000000,1005360,1005360,1005360,1005360,1005360
geram18,d,20140514,000000,1001890,1014130,1001890,1012740,1012740
geram18,d,20140515,000000,1004200,1012740,1004200,1007430,1007430
geram18,d,20140516,000000,1007430,1007430,1007430,1007430,1007430
geram18,d,20140517,000000,1007430,1028440,1007430,1018050,1018050
geram18,d,20140518,000000,1006510,1018050,1006510,1008590,1008590
geram18,d,20140519,000000,1012970,1014590,1012970,1012970,1012970
geram18,d,20140520,000000,1001660,1009970,1001660,1006510,1006510
geram18,d,20140521,000000,1007660,1011360,1007660,1008820,1008820
geram18,d,20140522,000000,1005360,1010200,1005360,1010200,1010200
geram18,d,20140524,000000,1004890,1007430,1004890,1006280,1006280
geram18,d,20140526,000000,1004660,1007900,1004660,1006970,1006970
geram18,d,20140528,000000,986430,991510,986430,987580,987580
geram18,d,20140529,000000,973040,983660,973040,982730,982730
geram18,d,20140531,000000,976960,980190,976960,978120,978120
geram18,d,20140601,000000,978120,979730,978120,979730,979730
geram18,d,20140602,000000,974420,979960,974420,978810,978810
geram18,d,20140603,000000,978810,981350,978810,978810,978810
geram18,d,20140607,000000,973270,979960,973270,973500,973500
geram18,d,20140608,000000,962190,967500,962190,966110,966110
geram18,d,20140609,000000,963800,970500,963800,963800,963800
geram18,d,20140610,000000,957570,961490,957570,961490,961490
geram18,d,20140611,000000,969110,974880,969110,972110,972110
geram18,d,20140612,000000,969810,975350,969810,975350,975350
geram18,d,20140614,000000,975350,984120,975350,975810,975810
geram18,d,20140615,000000,973270,979960,973270,978120,978120
geram18,d,20140616,000000,971650,979270,971650,971880,971880
geram18,d,20140617,000000,958490,972340,958490,968420,968420
geram18,d,20140618,000000,966800,973040,966800,969110,969110
geram18,d,20140619,000000,967960,973040,967960,973040,973040
geram18,d,20140621,000000,995430,1000280,995430,998430,998430
geram18,d,20140622,000000,992430,997280,992430,993810,993810
geram18,d,20140623,000000,988040,994970,988040,988040,988040
geram18,d,20140624,000000,982960,994280,982960,991970,991970
geram18,d,20140625,000000,984580,989890,984580,988500,988500
geram18,d,20140626,000000,983430,989660,983430,985960,985960
geram18,d,20140705,000000,970960,978810,970960,971880,971880
geram18,d,20140706,000000,965650,972810,965650,969110,969110
geram18,d,20140707,000000,965880,969340,965880,967960,967960
geram18,d,20140708,000000,968420,979270,968420,973270,973270
geram18,d,20140709,000000,973270,976960,973270,975350,975350
geram18,d,20140710,000000,974880,986430,974880,984580,984580
geram18,d,20140712,000000,979500,984580,979500,984580,984580
geram18,d,20140713,000000,982960,988500,982960,986660,986660
geram18,d,20140714,000000,972810,984580,972810,974190,974190
geram18,d,20140715,000000,968880,973500,968880,970040,970040
geram18,d,20140716,000000,964960,970730,964960,970730,970730
geram18,d,20140717,000000,972340,974650,972340,972350,972350
geram18,d,20140720,000000,968880,973500,968880,970730,970730
geram18,d,20140721,000000,970730,973040,970730,971650,971650
geram18,d,20140722,000000,966800,970730,966800,970730,970730
geram18,d,20140723,000000,967270,972340,967270,971420,971420
geram18,d,20140724,000000,965420,970730,965420,970500,970500
geram18,d,20140726,000000,971880,973960,971880,973960,973960
geram18,d,20140727,000000,974190,976040,974190,974880,974880
geram18,d,20140728,000000,972340,974190,972340,972580,972580
geram18,d,20140731,000000,972580,972580,972580,972580,972580
geram18,d,20140802,000000,967960,970730,967960,970730,970730
geram18,d,20140803,000000,970270,974650,970270,973270,973270
geram18,d,20140804,000000,973040,976040,973040,973960,973960
geram18,d,20140805,000000,970270,973500,970270,970270,970270
geram18,d,20140806,000000,970270,975580,970270,975580,975580
geram18,d,20140807,000000,973040,974650,973040,973730,973730
geram18,d,20140809,000000,973730,981580,973730,980190,980190
geram18,d,20140810,000000,976730,981340,976730,977880,977880
geram18,d,20140811,000000,974430,976730,974430,975580,975580
geram18,d,20140812,000000,975580,977700,975580,976730,976730
geram18,d,20140813,000000,974430,976730,974430,976730,976730
geram18,d,20140814,000000,975580,977700,975580,976730,976730
geram18,d,20140816,000000,970970,973270,970970,970970,970970
geram18,d,20140817,000000,968660,970970,968660,968660,968660
geram18,d,20140818,000000,966350,968660,966350,967510,967510
geram18,d,20140819,000000,967510,968660,967510,968660,968660
geram18,d,20140820,000000,964050,967510,964050,964050,964050
geram18,d,20140821,000000,954820,958280,954820,957130,957130
geram18,d,20140823,000000,954820,959430,954820,959430,959430
geram18,d,20140824,000000,961740,965200,961740,964050,964050
geram18,d,20140825,000000,960590,965200,960590,964050,964050
geram18,d,20140826,000000,965200,969810,965200,967510,967510
geram18,d,20140827,000000,965200,966350,965200,966350,966350
geram18,d,20140828,000000,966350,970970,966350,969810,969810
geram18,d,20140830,000000,970970,973270,970970,973270,973270
geram18,d,20140831,000000,972120,974430,972120,972120,972120
geram18,d,20140901,000000,970970,972120,970970,970970,970970
geram18,d,20140902,000000,967510,969810,967510,968660,968660
geram18,d,20140903,000000,967510,969810,967510,968660,968660
geram18,d,20140904,000000,967510,969810,967510,969810,969810
geram18,d,20140906,000000,965200,968660,965200,965200,965200
geram18,d,20140907,000000,964050,966350,964050,966350,966350
geram18,d,20140908,000000,966350,967510,966350,966350,966350
geram18,d,20140909,000000,964050,965200,964050,964050,964050
geram18,d,20140910,000000,961740,964050,961740,962890,962890
geram18,d,20140911,000000,960590,961740,960590,960590,960590
geram18,d,20140913,000000,946750,951360,946750,946750,946750
geram18,d,20140914,000000,943290,947900,943290,946750,946750
geram18,d,20140915,000000,947900,953670,947900,952510,952510
geram18,d,20140916,000000,953670,959430,953670,954820,954820
geram18,d,20140918,000000,951360,961740,951360,951360,951360
geram18,d,20140920,000000,937520,945600,937520,938680,938680
geram18,d,20140921,000000,935220,940980,935220,938680,938680
geram18,d,20140922,000000,936370,938680,936370,937520,937520
geram18,d,20140923,000000,938680,951360,938680,946750,946750
geram18,d,20140924,000000,947900,951360,947900,947900,947900
geram18,d,20140925,000000,943290,943290,943290,943290,943290
geram18,d,20140927,000000,946750,959430,946750,959430,959430
geram18,d,20140928,000000,960590,964050,960590,964050,964050
geram18,d,20140929,000000,960590,962890,960590,960590,960590
geram18,d,20140930,000000,952510,958280,952510,955970,955970
geram18,d,20141001,000000,953670,957130,953670,955970,955970
geram18,d,20141004,000000,945600,949060,945600,947900,947900
geram18,d,20141006,000000,945600,950210,945600,950210,950210
geram18,d,20141007,000000,953670,957130,953670,955970,955970
geram18,d,20141008,000000,958280,962890,958280,958280,958280
geram18,d,20141009,000000,966350,969810,966350,967510,967510
geram18,d,20141011,000000,961740,972120,961740,961740,961740
geram18,d,20141012,000000,959430,962890,959430,962890,962890
geram18,d,20141014,000000,960590,966350,960590,962890,962890
geram18,d,20141015,000000,957130,965200,957130,964050,964050
geram18,d,20141016,000000,962890,965200,962890,964050,964050
geram18,d,20141018,000000,960590,962890,960590,960590,960590
geram18,d,20141019,000000,960590,962890,960590,962890,962890
geram18,d,20141020,000000,959430,961740,959430,959430,959430
geram18,d,20141021,000000,960590,962890,960590,960590,960590
geram18,d,20141022,000000,959430,960590,959430,959430,959430
geram18,d,20141023,000000,957130,958280,957130,957130,957130
geram18,d,20141025,000000,951360,955970,951360,951360,951360
geram18,d,20141026,000000,949060,951360,949060,951360,951360
geram18,d,20141027,000000,950210,952510,950210,951360,951360
geram18,d,20141028,000000,950210,952510,950210,951360,951360
geram18,d,20141029,000000,950210,951360,950210,951360,951360
geram18,d,20141030,000000,944440,947900,944440,945600,945600
geram18,d,20141101,000000,931760,935220,931760,931760,931760
geram18,d,20141105,000000,915610,915610,915610,915610,915610
geram18,d,20141106,000000,916770,916770,916770,916770,916770
geram18,d,20141108,000000,923690,929450,923690,928300,928300
geram18,d,20141109,000000,928300,929450,928300,929450,929450
