<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TSEClose>
rob,d,20140430,000000,3240000,3260000,3240000,3250000,3250000
rob,d,20140501,000000,3210000,3260000,3210000,3210000,3210000
rob,d,20140502,000000,3210000,3210000,3210000,3210000,3210000
rob,d,20140503,000000,3230000,3240000,3230000,3230000,3230000
rob,d,20140504,000000,3210000,3230000,3210000,3210000,3210000
rob,d,20140505,000000,3190000,3230000,3190000,3190000,3190000
rob,d,20140506,000000,3140000,3200000,3140000,3140000,3140000
rob,d,20140507,000000,3105000,3140000,3105000,3105000,3105000
rob,d,20140508,000000,3090000,3100000,3090000,3100000,3100000
rob,d,20140509,000000,3100000,3100000,3100000,3100000,3100000
rob,d,20140510,000000,3000000,3100000,3000000,3000000,3000000
rob,d,20140511,000000,2950000,3000000,2950000,2950000,2950000
rob,d,20140512,000000,2950000,3020000,2950000,3020000,3020000
rob,d,20140513,000000,3020000,3020000,3020000,3020000,3020000
rob,d,20140514,000000,3000000,3030000,3000000,3030000,3030000
rob,d,20140515,000000,2970000,3030000,2970000,2970000,2970000
rob,d,20140516,000000,2970000,2970000,2970000,2970000,2970000
rob,d,20140517,000000,2970000,3050000,2970000,2980000,2980000
rob,d,20140518,000000,2920000,2980000,2920000,2920000,2920000
rob,d,20140519,000000,2950000,2950000,2950000,2950000,2950000
rob,d,20140520,000000,2900000,2940000,2900000,2900000,2900000
rob,d,20140521,000000,2900000,2900000,2900000,2900000,2900000
rob,d,20140522,000000,2880000,2880000,2880000,2880000,2880000
rob,d,20140524,000000,2880000,2890000,2880000,2880000,2880000
rob,d,20140526,000000,2880000,2890000,2880000,2880000,2880000
rob,d,20140528,000000,2810000,2850000,2810000,2810000,2810000
rob,d,20140529,000000,2790000,2800000,2790000,2800000,2800000
rob,d,20140602,000000,2800000,2820000,2800000,2810000,2810000
rob,d,20140603,000000,2800000,2820000,2800000,2810000,2810000
rob,d,20140607,000000,2810000,2840000,2810000,2810000,2810000
rob,d,20140608,000000,2780000,2800000,2780000,2780000,2780000
rob,d,20140609,000000,2800000,2800000,2800000,2800000,2800000
rob,d,20140610,000000,2770000,2770000,2770000,2770000,2770000
rob,d,20140611,000000,2780000,2820000,2780000,2820000,2820000
rob,d,20140612,000000,2830000,2830000,2830000,2830000,2830000
rob,d,20140614,000000,2810000,2850000,2810000,2810000,2810000
rob,d,20140615,000000,2810000,2830000,2810000,2810000,2810000
rob,d,20140616,000000,2790000,2820000,2790000,2790000,2790000
rob,d,20140617,000000,2750000,2800000,2750000,2780000,2780000
rob,d,20140618,000000,2790000,2800000,2790000,2800000,2800000
rob,d,20140619,000000,2790000,2790000,2790000,2790000,2790000
rob,d,20140621,000000,2820000,2880000,2820000,2820000,2820000
rob,d,20140622,000000,2770000,2790000,2770000,2780000,2780000
rob,d,20140623,000000,2760000,2770000,2760000,2760000,2760000
rob,d,20140624,000000,2730000,2760000,2730000,2730000,2730000
rob,d,20140625,000000,2720000,2740000,2720000,2720000,2720000
rob,d,20140626,000000,2700000,2700000,2700000,2700000,2700000
rob,d,20140705,000000,2680000,2690000,2680000,2680000,2680000
rob,d,20140706,000000,2650000,2670000,2650000,2670000,2670000
rob,d,20140707,000000,2660000,2680000,2660000,2660000,2660000
rob,d,20140708,000000,2650000,2700000,2650000,2680000,2680000
rob,d,20140709,000000,2660000,2670000,2660000,2660000,2660000
rob,d,20140710,000000,2690000,2700000,2690000,2700000,2700000
rob,d,20140713,000000,2690000,2710000,2690000,2700000,2700000
rob,d,20140714,000000,2680000,2690000,2680000,2680000,2680000
rob,d,20140715,000000,2650000,2670000,2650000,2650000,2650000
rob,d,20140716,000000,2670000,2670000,2670000,2670000,2670000
rob,d,20140717,000000,2690000,2700000,2690000,2690000,2690000
rob,d,20140720,000000,2680000,2760000,2680000,2760000,2760000
rob,d,20140721,000000,2680000,2710000,2680000,2710000,2710000
rob,d,20140722,000000,2690000,2740000,2690000,2740000,2740000
rob,d,20140723,000000,2760000,2780000,2760000,2770000,2770000
rob,d,20140724,000000,2780000,2780000,2780000,2780000,2780000
rob,d,20140726,000000,2790000,2810000,2790000,2790000,2790000
rob,d,20140727,000000,2800000,2800000,2800000,2800000,2800000
rob,d,20140731,000000,2790000,2790000,2790000,2790000,2790000
rob,d,20140802,000000,2760000,2790000,2760000,2760000,2760000
rob,d,20140803,000000,2750000,2800000,2750000,2800000,2800000
rob,d,20140804,000000,2750000,2780000,2750000,2760000,2760000
rob,d,20140805,000000,2740000,2760000,2740000,2740000,2740000
rob,d,20140806,000000,2730000,2750000,2730000,2750000,2750000
rob,d,20140807,000000,2730000,2740000,2730000,2740000,2740000
rob,d,20140809,000000,2720000,4780000,2720000,2720000,2720000
rob,d,20140810,000000,2720000,2740000,2720000,2720000,2720000
rob,d,20140811,000000,2710000,2720000,2710000,2710000,2710000
rob,d,20140812,000000,2695000,2710000,2695000,2695000,2695000
rob,d,20140813,000000,2690000,2700000,2690000,2690000,2690000
rob,d,20140814,000000,2690000,2695000,2690000,2690000,2690000
rob,d,20140816,000000,2665000,2690000,2665000,2670000,2670000
rob,d,20140817,000000,2640000,2675000,2640000,2640000,2640000
rob,d,20140818,000000,2625000,2650000,2625000,2625000,2625000
rob,d,20140819,000000,2615000,2630000,2615000,2625000,2625000
rob,d,20140820,000000,2595000,2620000,2595000,2595000,2595000
rob,d,20140821,000000,2565000,2590000,2565000,2565000,2565000
rob,d,20140823,000000,2555000,2580000,2555000,2570000,2570000
rob,d,20140824,000000,2590000,2620000,2590000,2615000,2615000
rob,d,20140825,000000,2610000,2625000,2610000,2625000,2625000
rob,d,20140826,000000,2625000,2660000,2625000,2660000,2660000
rob,d,20140827,000000,2655000,2665000,2655000,2665000,2665000
rob,d,20140828,000000,2650000,2680000,2650000,2680000,2680000
rob,d,20140829,000000,2675000,2680000,2675000,2680000,2680000
rob,d,20140830,000000,2675000,2690000,2675000,2680000,2680000
rob,d,20140831,000000,2680000,2690000,2680000,2680000,2680000
rob,d,20140901,000000,2670000,2675000,2670000,2670000,2670000
rob,d,20140902,000000,2675000,2680000,2675000,2680000,2680000
rob,d,20140903,000000,2665000,2670000,2665000,2670000,2670000
rob,d,20140904,000000,2665000,2670000,2665000,2670000,2670000
rob,d,20140905,000000,2665000,2665000,2665000,2665000,2665000
rob,d,20140906,000000,2660000,2675000,2660000,2660000,2660000
rob,d,20140907,000000,2645000,2730000,2645000,2665000,2665000
rob,d,20140908,000000,2655000,2660000,2655000,2655000,2655000
rob,d,20140909,000000,2645000,2660000,2645000,2645000,2645000
rob,d,20140910,000000,2635000,2640000,2635000,2640000,2640000
rob,d,20140911,000000,2640000,2645000,2640000,2640000,2640000
rob,d,20140912,000000,2640000,2645000,2640000,2640000,2640000
rob,d,20140913,000000,2600000,2620000,2600000,2610000,2610000
rob,d,20140915,000000,2605000,2630000,2605000,2630000,2630000
rob,d,20140916,000000,2630000,2655000,2630000,2655000,2655000
rob,d,20140918,000000,2645000,2665000,2645000,2650000,2650000
rob,d,20140920,000000,2615000,2645000,2615000,2615000,2615000
rob,d,20140921,000000,2610000,2620000,2610000,2610000,2610000
rob,d,20140922,000000,2615000,2620000,2615000,2615000,2615000
rob,d,20140923,000000,2610000,2650000,2610000,2650000,2650000
rob,d,20140924,000000,2645000,2650000,2645000,2650000,2650000
rob,d,20140925,000000,2630000,2650000,2630000,2640000,2640000
rob,d,20140926,000000,2630000,2640000,2630000,2640000,2640000
rob,d,20140927,000000,2645000,2685000,2645000,2675000,2675000
rob,d,20140928,000000,2685000,2720000,2685000,2720000,2720000
rob,d,20140929,000000,2720000,2735000,2720000,2730000,2730000
rob,d,20140930,000000,2695000,2725000,2695000,2700000,2700000
rob,d,20141001,000000,2695000,2705000,2695000,2700000,2700000
rob,d,20141002,000000,2700000,2710000,2700000,2710000,2710000
rob,d,20141004,000000,2700000,2705000,2700000,2700000,2700000
rob,d,20141006,000000,2680000,2695000,2680000,2680000,2680000
rob,d,20141007,000000,2685000,2700000,2685000,2695000,2695000
rob,d,20141008,000000,2690000,2710000,2690000,2705000,2705000
rob,d,20141009,000000,2700000,2735000,2700000,2725000,2725000
rob,d,20141010,000000,2710000,2730000,2710000,2720000,2720000
rob,d,20141011,000000,2695000,2730000,2695000,2695000,2695000
rob,d,20141012,000000,2700000,2705000,2700000,2705000,2705000
rob,d,20141013,000000,2705000,2710000,2705000,2705000,2705000
rob,d,20141014,000000,2675000,2700000,2675000,2680000,2680000
rob,d,20141020,000000,2685000,2685000,2685000,2685000,2685000
rob,d,20141021,000000,2600000,2620000,2600000,2600000,2600000
rob,d,20141022,000000,2585000,2605000,2585000,2590000,2590000
rob,d,20141023,000000,2580000,2585000,2580000,2580000,2580000
rob,d,20141025,000000,2560000,2570000,2560000,2565000,2565000
rob,d,20141026,000000,2530000,2570000,2530000,2550000,2550000
rob,d,20141027,000000,2530000,2545000,2530000,2540000,2540000
rob,d,20141028,000000,2540000,2550000,2540000,2540000,2540000
rob,d,20141029,000000,2540000,2550000,2540000,2547000,2547000
rob,d,20141030,000000,2520000,2540000,2520000,2527000,2527000
