<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TSEClose>
seke_bahar,d,20140430,000000,10090000,10200000,10090000,10100000,10100000
seke_bahar,d,20140501,000000,10080000,10120000,10080000,10110000,10110000
seke_bahar,d,20140502,000000,10110000,10110000,10110000,10110000,10110000
seke_bahar,d,20140503,000000,10190000,10280000,10190000,10210000,10210000
seke_bahar,d,20140504,000000,10130000,10220000,10130000,10130000,10130000
seke_bahar,d,20140505,000000,10130000,10190000,10130000,10180000,10180000
seke_bahar,d,20140506,000000,10100000,10180000,10100000,10100000,10100000
seke_bahar,d,20140507,000000,10037000,10120000,10037000,10040000,10040000
seke_bahar,d,20140508,000000,9900000,9980000,9900000,9910000,9910000
seke_bahar,d,20140509,000000,9910000,9910000,9910000,9910000,9910000
seke_bahar,d,20140510,000000,9770000,9910000,9770000,9800000,9800000
seke_bahar,d,20140511,000000,9660000,9760000,9660000,9690000,9690000
seke_bahar,d,20140512,000000,9690000,9840000,9690000,9800000,9800000
seke_bahar,d,20140513,000000,9800000,9800000,9800000,9800000,9800000
seke_bahar,d,20140514,000000,9780000,9920000,9780000,9890000,9890000
seke_bahar,d,20140515,000000,9830000,9880000,9830000,9840000,9840000
seke_bahar,d,20140516,000000,9840000,9840000,9840000,9840000,9840000
seke_bahar,d,20140517,000000,9920000,9980000,9920000,9920000,9920000
seke_bahar,d,20140518,000000,9830000,9920000,9830000,9840000,9840000
seke_bahar,d,20140519,000000,9900000,9930000,9900000,9920000,9920000
seke_bahar,d,20140520,000000,9850000,9910000,9850000,9870000,9870000
seke_bahar,d,20140521,000000,9870000,9920000,9870000,9870000,9870000
seke_bahar,d,20140522,000000,9850000,9880000,9850000,9880000,9880000
seke_bahar,d,20140524,000000,9850000,9870000,9850000,9850000,9850000
seke_bahar,d,20140526,000000,9850000,9880000,9850000,9850000,9850000
seke_bahar,d,20140528,000000,9650000,9750000,9650000,9650000,9650000
seke_bahar,d,20140529,000000,9550000,9600000,9550000,9580000,9580000
seke_bahar,d,20140531,000000,9550000,9570000,9550000,9560000,9560000
seke_bahar,d,20140601,000000,9565000,9570000,9565000,9570000,9570000
seke_bahar,d,20140602,000000,9510000,9550000,9510000,9550000,9550000
seke_bahar,d,20140603,000000,9555000,9580000,9555000,9560000,9560000
seke_bahar,d,20140607,000000,9500000,9580000,9500000,9500000,9500000
seke_bahar,d,20140608,000000,9400000,9450000,9400000,9440000,9440000
seke_bahar,d,20140609,000000,9415000,9510000,9415000,9425000,9425000
seke_bahar,d,20140610,000000,9345000,9388000,9345000,9388000,9388000
seke_bahar,d,20140611,000000,9470000,9520000,9470000,9500000,9500000
seke_bahar,d,20140612,000000,9530000,9550000,9530000,9550000,9550000
seke_bahar,d,20140614,000000,9550000,9640000,9550000,9550000,9550000
seke_bahar,d,20140615,000000,9530000,9585000,9530000,9570000,9570000
seke_bahar,d,20140616,000000,9500000,9585000,9500000,9500000,9500000
seke_bahar,d,20140617,000000,9380000,9500000,9380000,9450000,9450000
seke_bahar,d,20140618,000000,9460000,9500000,9460000,9480000,9480000
seke_bahar,d,20140619,000000,9470000,9500000,9470000,9500000,9500000
seke_bahar,d,20140621,000000,9740000,9800000,9740000,9770000,9770000
seke_bahar,d,20140622,000000,9700000,9760000,9700000,9710000,9710000
seke_bahar,d,20140623,000000,9650000,9720000,9650000,9650000,9650000
seke_bahar,d,20140624,000000,9630000,9700000,9630000,9680000,9680000
seke_bahar,d,20140625,000000,9650000,9660000,9650000,9660000,9660000
seke_bahar,d,20140626,000000,9630000,9650000,9630000,9640000,9640000
seke_bahar,d,20140705,000000,9520000,9570000,9520000,9530000,9530000
seke_bahar,d,20140706,000000,9450000,9500000,9450000,9480000,9480000
seke_bahar,d,20140707,000000,9470000,9480000,9470000,9470000,9470000
seke_bahar,d,20140708,000000,9480000,9570000,9480000,9550000,9550000
seke_bahar,d,20140709,000000,9530000,9550000,9530000,9530000,9530000
seke_bahar,d,20140710,000000,9550000,9630000,9550000,9630000,9630000
