<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TSEClose>
sekee_emami_old,d,20140430,000000,10090000,10210000,10090000,10110000,10110000
sekee_emami_old,d,20140501,000000,10085000,10130000,10085000,10120000,10120000
sekee_emami_old,d,20140502,000000,10120000,10130000,10120000,10130000,10130000
sekee_emami_old,d,20140503,000000,10200000,10300000,10200000,10220000,10220000
sekee_emami_old,d,20140504,000000,10130000,10240000,10130000,10130000,10130000
sekee_emami_old,d,20140505,000000,10130000,10195000,10130000,10190000,10190000
sekee_emami_old,d,20140506,000000,10110000,10190000,10110000,10110000,10110000
sekee_emami_old,d,20140507,000000,10037000,10130000,10037000,10040000,10040000
sekee_emami_old,d,20140508,000000,9910000,9990000,9910000,9910000,9910000
sekee_emami_old,d,20140509,000000,9910000,9910000,9910000,9910000,9910000
sekee_emami_old,d,20140510,000000,9770000,9910000,9770000,9800000,9800000
sekee_emami_old,d,20140511,000000,9670000,9770000,9670000,9690000,9690000
sekee_emami_old,d,20140512,000000,9685000,9850000,9685000,9810000,9810000
sekee_emami_old,d,20140513,000000,9810000,9810000,9810000,9810000,9810000
sekee_emami_old,d,20140514,000000,9780000,9930000,9780000,9900000,9900000
sekee_emami_old,d,20140515,000000,9830000,9890000,9830000,9860000,9860000
sekee_emami_old,d,20140516,000000,9860000,9860000,9860000,9860000,9860000
sekee_emami_old,d,20140517,000000,9920000,9990000,9920000,9920000,9920000
sekee_emami_old,d,20140518,000000,9835000,9930000,9835000,9845000,9845000
sekee_emami_old,d,20140519,000000,9910000,9940000,9910000,9930000,9930000
sekee_emami_old,d,20140520,000000,9850000,9920000,9850000,9885000,9885000
sekee_emami_old,d,20140521,000000,9880000,9935000,9880000,9880000,9880000
sekee_emami_old,d,20140522,000000,9860000,9900000,9860000,9900000,9900000
sekee_emami_old,d,20140524,000000,9855000,9880000,9855000,9875000,9875000
sekee_emami_old,d,20140525,000000,9870000,9880000,9870000,9875000,9875000
sekee_emami_old,d,20140526,000000,9870000,9905000,9870000,9870000,9870000
sekee_emami_old,d,20140527,000000,9760000,9850000,9760000,9760000,9760000
sekee_emami_old,d,20140528,000000,9680000,9770000,9680000,9680000,9680000
sekee_emami_old,d,20140529,000000,9560000,9640000,9560000,9620000,9620000
sekee_emami_old,d,20140531,000000,9570000,9600000,9570000,9580000,9580000
sekee_emami_old,d,20140601,000000,9575000,9620000,9575000,9580000,9580000
sekee_emami_old,d,20140602,000000,9520000,9570000,9520000,9570000,9570000
sekee_emami_old,d,20140603,000000,9565000,9610000,9565000,9570000,9570000
sekee_emami_old,d,20140607,000000,9515000,9590000,9515000,9515000,9515000
sekee_emami_old,d,20140608,000000,9420000,9470000,9420000,9470000,9470000
sekee_emami_old,d,20140609,000000,9440000,9530000,9440000,9445000,9445000
sekee_emami_old,d,20140610,000000,9358000,9410000,9358000,9410000,9410000
sekee_emami_old,d,20140611,000000,9485000,9555000,9485000,9518000,9518000
sekee_emami_old,d,20140612,000000,9538000,9607000,9538000,9600000,9600000
sekee_emami_old,d,20140614,000000,9585000,9685000,9585000,9594000,9594000
sekee_emami_old,d,20140615,000000,9557000,9622000,9557000,9610000,9610000
sekee_emami_old,d,20140616,000000,9512000,9605000,9512000,9512000,9512000
sekee_emami_old,d,20140617,000000,9415000,9510000,9415000,9480000,9480000
sekee_emami_old,d,20140618,000000,9468000,9525000,9468000,9490000,9490000
sekee_emami_old,d,20140619,000000,9487000,9538000,9487000,9530000,9530000
sekee_emami_old,d,20140621,000000,9757000,9830000,9757000,9790000,9790000
sekee_emami_old,d,20140622,000000,9705000,9780000,9705000,9730000,9730000
sekee_emami_old,d,20140623,000000,9673000,9732000,9673000,9673000,9673000
sekee_emami_old,d,20140624,000000,9648000,9762000,9648000,9692000,9692000
sekee_emami_old,d,20140625,000000,9658000,9685000,9658000,9673000,9673000
sekee_emami_old,d,20140626,000000,9648000,9682000,9648000,9655000,9655000
sekee_emami_old,d,20140705,000000,9562000,9592000,9562000,9575000,9575000
sekee_emami_old,d,20140706,000000,9495000,9570000,9495000,9523000,9523000
sekee_emami_old,d,20140707,000000,9482000,9512000,9482000,9495000,9495000
sekee_emami_old,d,20140708,000000,9515000,9592000,9515000,9570000,9570000
sekee_emami_old,d,20140709,000000,9550000,9598000,9550000,9564000,9564000
sekee_emami_old,d,20140710,000000,9570000,9645000,9570000,9645000,9645000
sekee_emami_old,d,20140712,000000,9610000,9647000,9610000,9647000,9647000
sekee_emami_old,d,20140713,000000,9650000,9685000,9650000,9680000,9680000
sekee_emami_old,d,20140714,000000,9590000,9660000,9590000,9590000,9590000
sekee_emami_old,d,20140715,000000,9515000,9550000,9515000,9522000,9522000
sekee_emami_old,d,20140716,000000,9475000,9515000,9475000,9515000,9515000
sekee_emami_old,d,20140717,000000,9545000,9565000,9545000,9540000,9540000
sekee_emami_old,d,20140720,000000,9520000,9550000,9520000,9525000,9525000
sekee_emami_old,d,20140721,000000,9535000,9570000,9535000,9550000,9550000
sekee_emami_old,d,20140722,000000,9500000,9530000,9500000,9505000,9505000
sekee_emami_old,d,20140723,000000,9490000,9532000,9490000,9525000,9525000
sekee_emami_old,d,20140724,000000,9485000,9513000,9485000,9510000,9510000
sekee_emami_old,d,20140726,000000,9515000,9542000,9515000,9535000,9535000
sekee_emami_old,d,20140727,000000,9528000,9558000,9528000,9530000,9530000
sekee_emami_old,d,20140728,000000,9502000,9517000,9502000,9502000,9502000
sekee_emami_old,d,20140730,000000,9502000,9502000,9502000,9502000,9502000
sekee_emami_old,d,20140731,000000,9500000,9505000,9500000,9505000,9505000
sekee_emami_old,d,20140802,000000,9467000,9495000,9467000,9477000,9477000
sekee_emami_old,d,20140803,000000,9495000,9525000,9495000,9518000,9518000
sekee_emami_old,d,20140804,000000,9512000,9535000,9512000,9515000,9515000
sekee_emami_old,d,20140805,000000,9480000,9512000,9480000,9480000,9480000
sekee_emami_old,d,20140806,000000,9477000,9522000,9477000,9522000,9522000
sekee_emami_old,d,20140807,000000,9515000,9527000,9515000,9518000,9518000
sekee_emami_old,d,20140808,000000,9515000,9527000,9515000,9518000,9518000
sekee_emami_old,d,20140810,000000,9546000,9580000,9546000,9546000,9546000
sekee_emami_old,d,20140811,000000,9527000,9542000,9527000,9540000,9540000
sekee_emami_old,d,20140812,000000,9530000,9545000,9530000,9545000,9545000
sekee_emami_old,d,20140813,000000,9523000,9540000,9523000,9539000,9539000
sekee_emami_old,d,20140814,000000,9537000,9553000,9537000,9545000,9545000
sekee_emami_old,d,20140816,000000,9485000,9523000,9485000,9490000,9490000
sekee_emami_old,d,20140817,000000,9472000,9487000,9472000,9472000,9472000
sekee_emami_old,d,20140818,000000,9444000,9468000,9444000,9447000,9447000
sekee_emami_old,d,20140819,000000,9448000,9465000,9448000,9460000,9460000
sekee_emami_old,d,20140820,000000,9420000,9450000,9420000,9425000,9425000
sekee_emami_old,d,20140821,000000,9350000,9415000,9350000,9355000,9355000
sekee_emami_old,d,20140823,000000,9330000,9370000,9330000,9370000,9370000
sekee_emami_old,d,20140824,000000,9385000,9445000,9385000,9415000,9415000
sekee_emami_old,d,20140825,000000,9380000,9425000,9380000,9420000,9420000
sekee_emami_old,d,20140826,000000,9430000,9470000,9430000,9440000,9440000
sekee_emami_old,d,20140827,000000,9430000,9445000,9430000,9435000,9435000
sekee_emami_old,d,20140828,000000,9440000,9485000,9440000,9485000,9485000
sekee_emami_old,d,20140830,000000,9490000,9510000,9490000,9505000,9505000
sekee_emami_old,d,20140831,000000,9490000,9520000,9490000,9490000,9490000
sekee_emami_old,d,20140901,000000,9485000,9495000,9485000,9495000,9495000
sekee_emami_old,d,20140902,000000,9460000,9490000,9460000,9460000,9460000
sekee_emami_old,d,20140903,000000,9460000,9480000,9460000,9465000,9465000
sekee_emami_old,d,20140904,000000,9460000,9470000,9460000,9470000,9470000
sekee_emami_old,d,20140906,000000,9425000,9470000,9425000,9425000,9425000
sekee_emami_old,d,20140907,000000,9420000,9445000,9420000,9441000,9441000
